"","imdb_id","title","genres","release_date","release_year","release_month","country","production_companies","budget","revenue","duration","actors","director","main_country"
"1265",171804,"Boys Don't Cry (1999)","Drama",2000-03-31,"2000","3","United States","Searchlight Pictures;The Independent Film Channel Productions;Killer Films",2e+06,73720,118,"Hilary Swank;Chloë Sevigny;Peter Sarsgaard;Brendan Sexton III;Alicia Goranson;Alison Folland;Jeannetta Arnette;Rob Campbell;Matt McGrath;Cheyenne Rushing;Robert Prentiss;Josh Ridgway;Craig Erickson;Stephanie Sechrist;Jerry Haynes;Lou Perryman;Lisa Renee Wilson;Jackson Kane","Kimberly Peirce","United States"
"1268",86200,"Risky Business (1983)","Comedy",1983-08-05,"1983","8","United States","The Geffen Company",6200000,4275327,99,"Tom Cruise;Rebecca De Mornay;Joe Pantoliano;Richard Masur;Bronson Pinchot;Curtis Armstrong;Nicholas Pryor;Janet Carroll;Shera Danese;Raphael Sbarge;Bruce A. Young;Kevin Anderson;Sarah Partridge;Nathan Davis;Scott Harlan;Sheila Keenan;Lucy Harrington;Jerry Tullos","Paul Brickman","United States"
"1271",91042,"Ferris Bueller's Day Off (1986)","Comedy",1986-06-11,"1986","6","United States","Paramount Pictures",6e+06,6275647,103,"Matthew Broderick;Alan Ruck;Mia Sara;Jeffrey Jones;Jennifer Grey;Cindy Pickett;Lyman Ward;Edie McClurg;Charlie Sheen;Ben Stein;Del Close;Virginia Capers;Richard Edson;Larry Flash Jenkins;Kristy Swanson;Lisa Bellard;Max Perlich;Scott Coffey","John Hughes","United States"
"1274",87980,"Razor's Edge, The (1984)","Drama",1984-10-19,"1984","10","United KingdomUnited States","Columbia Pictures;Colgems Productions Ltd.;Marcucci-Cohen-Benn Production",1.3e+07,2411311,128,"Bill Murray;Theresa Russell;Denholm Elliott;Catherine Hicks;James Keach;Peter Vaughan;Brian Doyle-Murray;Stephen Davies;Saeed Jaffrey;Faith Brook;André Maranne;Bruce Boa;Serge Feuillard;Joris Stuyck;Helen Horton;Michael Fitzpatrick;Robert Manuel;Sam Douglas","John Byrum","United Kingdom"
"1283",203408,"Omega Code, The (1999)","Action",1999-08-27,"1999","8","United States","Code Productions;Eclipse Catering;Gener8Xion Entertainment",8e+06,2354362,100,"Casper Van Dien;Michael York;Catherine Oxenberg;Michael Ironside;Jan Tríska;Gregory Wagrowski;Devon Odessa;William Hootkins;Robert Ito;Janet Carroll;George Coe;Ravil Isyanov;Ayla Kell;Walter Williamson;Ross McKerras;Steve Franken;Alec Murdock;Jules Mandel","Robert Marcarelli","United States"
"1290",163988,"Bringing Out the Dead (1999)","Drama",1999-10-22,"1999","10","United States","De Fina-Cappa;Paramount Pictures;Touchstone Pictures",5.5e+07,6193052,121,"Nicolas Cage;Patricia Arquette;John Goodman;Ving Rhames;Tom Sizemore;Marc Anthony;Mary Beth Hurt;Cliff Curtis;Nestor Serrano;Aida Turturro;Sonja Sohn;Cynthia Roman;Afemo Omilami;Cullen O. Johnson;Arthur J. Nascarella;Martin Scorsese;Julyana Soelistyo;Graciela Lecube","Martin Scorsese","United States"
"1299",166943,"Music of the Heart (1999)","Drama",1999-10-29,"1999","10","United States","Craven-Maddalena Films;Miramax",2.7e+07,3653281,124,"Meryl Streep;Cloris Leachman;Henry Dinhofer;Michael Angarano;Robert Ari;Aidan Quinn;Teddy Coluca;Angela Bassett;Josh Pais;Barbara Gonzalez;Jade Scott Yorker;Victoria Gómez;Justin Pierre Edmund;Justin 'DJ' Spaulding;Zoe Sternbach-Taubman;Christopher Lopez;Ruben Jared Seraballs;Lucy Nonas-Barnes","Wes Craven","United States"
"1302",145681,"Bone Collector, The (1999)","Thriller",1999-11-05,"1999","11","United StatesCanada","Columbia Pictures;Universal Pictures",7.3e+07,16712020,118,"Denzel Washington;Angelina Jolie;Queen Latifah;Michael Rooker;Michael McGlone;Luis Guzmán;Leland Orser;John Benjamin Hickey;Bobby Cannavale;Ed O'Neill;Richard Zeman;Olivia Birkelund;Gary Swanson;James Bulleit;Frank Fontaine;Zena Grey;Daniel Brochu;Desmond Campbell","Phillip Noyce","United States"
"1304",82121,"Bustin' Loose (1981)","Comedy",1981-05-22,"1981","5","United States","Universal Pictures",1.1e+07,6622753,94,"Richard Pryor;Cicely Tyson;Angel Ramirez Jr.;Jimmy Hughes;Edwin DeLeon;Edwin Kinter;Tami Luchow;Janet Wong;Alphonso Alexander;Kia Cooper;Robert Christian;George Coe;Bill Quinn;Roy Jenson;Fred Carney;Peggy McCay;Luke Andreas;Earl Billings","Oz Scott;Michael Schultz(uncredited)","United States"
"1305",83767,"Creepshow (1982)","Horror",1982-11-10,"1982","11","United States","United Film Distribution Company (UFDC);Laurel-Show Inc.;Creepshow Films Inc.",8e+06,5870889,120,"Hal Holbrook;Leslie Nielsen;Adrienne Barbeau;E.G. Marshall;Fritz Weaver;Carrie Nye;Viveca Lindfors;Ed Harris;Ted Danson;Stephen King;Warner Shook;Robert Harper;Elizabeth Regan;Gaylen Ross;Jon Lormer;Don Keefer;Bingo O'Malley;John Amplas","George A. Romero","United States"
"1306",92796,"Creepshow 2 (1987)","Horror",1987-05-01,"1987","5","United States","New World Pictures;Laurel Entertainment Inc.",3500000,3584077,92,"George Kennedy;Lois Chiles;Domenick John;Tom Savini;Philip Dore;Maltby Napoleon;Tyrone Tonto;Dorothy Lamour;Frank Salsedo;Holt McCallany;David Holbrook;Don Harvey;Dan Kamin;Dean Smith;Shirley Sonderegger;Paul Satterfield;Jeremy Green;Daniel Beer","Michael Gornick","United States"
"1312",86465,"Trading Places (1983)","Comedy",1983-06-08,"1983","6","United States","Cinema Group Ventures;Paramount Pictures",1.5e+07,7348200,116,"Eddie Murphy;Dan Aykroyd;Ralph Bellamy;Don Ameche;Denholm Elliott;Maurice Woods;Richard D. Fisher Jr.;Jim Gallagher;Anthony DiSabatino;Bonnie Behrend;Sunnie Merrill;James Newell;Mary St. John;Bonnie Tremena;David Schwartz;Tom Degidon;William Magerman;Alan Dellay","John Landis","United States"
"1315",83254,"Under the Rainbow (1981)","Comedy",1981-07-31,"1981","7","United States","Innovisions;ECA;Orion Pictures",2e+07,2297493,98,"Chevy Chase;Carrie Fisher;Eve Arden;Joseph Maher;Robert Donner;Billy Barty;Mako;Cork Hubbert;Pat McCormick;Adam Arkin;Richard Stahl;Freeman King;Peter Isacksen;Jack Kruschen;Bennett Ohta;Gary Friedkin;Michael Lee Gogin;Pam Vance","Steve Rash","United States"
"1316",172726,"Light It Up (1999)","Drama",1999-11-10,"1999","11","United States","Edmonds Entertainment;Fox 2000 Pictures",1.3e+07,2408613,99,"Usher;Forest Whitaker;Rosario Dawson;Robert Ri'chard;Judd Nelson;Fredro Starr;Sara Gilbert;Clifton Collins Jr.;Glynn Turman;Vic Polizos;Vanessa Williams;Gaddiel Otero;Frank Dominelli;Reggie Theus;Jennifer Say Gan;Kevyn Morrow;Kevin R. Kelly;LaTaunya Bounds","Craig Bolotin","United States"
"1328",93509,"Matewan (1987)","Drama",1987-08-28,"1987","8","United States","Cinecom Entertainment Group;Film Gallery.;Goldcrest Films International",4e+06,23850,135,"Chris Cooper;James Earl Jones;Mary McDonnell;Will Oldham;David Strathairn;Ken Jenkins;Kevin Tighe;Gordon Clapp;Bob Gunton;Jace Alexander;Joe Grifasi;Nancy Mette;Jo Henderson;Josh Mostel;Gary McCleery;Maggie Renzi;Tom Wright;Michael B. Preston","John Sayles","United States"
"1329",87781,"Natural, The (1984)","Drama",1984-05-11,"1984","5","United States","TriStar Pictures;Delphi II Productions",2.8e+07,5088381,138,"Robert Redford;Robert Duvall;Glenn Close;Kim Basinger;Wilford Brimley;Barbara Hershey;Robert Prosky;Richard Farnsworth;Joe Don Baker;John Finnegan;Alan Fudge;Paul Sullivan Jr.;Rachel Hall;Robert Rich III;Michael Madsen;Jon Van Ness;Mickey Treanor;George Wilkosz","Barry Levinson","United States"
"1330",105265,"River Runs Through It, A (1992)","Drama",1992-10-30,"1992","10","United States","Allied Filmmakers;Wildwood Enterprises",1.2e+07,298277,123,"Craig Sheffer;Brad Pitt;Tom Skerritt;Brenda Blethyn;Emily Lloyd;Edie McClurg;Stephen Shellen;Vann Gravage;Nicole Burdette;Susan Traylor;Michael Cudlitz;Rob Cox;Buck Simmonds;Fred Oakland;David Creamer;Madonna Reubens;John Reubens;Arnold Richardson","Robert Redford","United States"
"1339",88007,"River, The (1984)","Drama",1985-01-11,"1985","1","United States","Universal Pictures",1.8e+07,30027,124,"Mel Gibson;Sissy Spacek;Shane Bailey;Becky Jo Lynch;Scott Glenn;Don Hood;Billy Green Bush;James Tolkan;Bob W. Douglas;Andy Stahl;Lisa Sloan;Larry D. Ferrell;Susie Toomey;Kelly Toomey;Frank Hoyt Taylor;Ivan Green;Desmond Couch;Charles G. Riddle","Mark Rydell","United States"
"1340",87091,"Country (1984)","Drama",1984-09-29,"1984","9","United States","Touchstone Films;Far West;Panagea",1e+07,24443,105,"Jessica Lange;Sam Shepard;Wilford Brimley;Matt Clark;Theresa Graham;Levi L. Knebel;Jim Haynie;Sandra Seacat;Alex Harvey;Stephanie-Stacy Poyner;Jim Ostercamp;Robert L. Somers;Frank Noel;Warren Duit;Conrad Doan;James N. Harrell;Dean French;Betty Smith","Richard Pearce","United States"
"1341",90556,"'night Mother (1986)","Drama",1987-01-29,"1987","1","United States","Aaron Spelling Productions;Blackbird Productions;Universal Pictures",3e+06,49164,96,"Sissy Spacek;Anne Bancroft;Ed Berke;Carol Robbins;Jennifer Roosendahl;Michael Kenworthy;Sari Walker;Claire Malis","Tom Moore","United States"
"1344",155711,"Flawless (1999)","Drama",1999-11-24,"1999","11","United States","Tribeca Productions",1.5e+07,1590155,112,"Robert De Niro;Philip Seymour Hoffman;Barry Miller;Chris Bauer;Skipp Sudduth;Wilson Jermaine Heredia;Nashom Wooden;Scott Allen Cooper;Rory Cochrane;Daphne Rubin-Vega;Vincent Laresca;Karina Arroyave;John Enos III;Jude Ciccolella;Mina Bern;Wanda De Jesus;Madhur Jaffrey;Mark Margolis","Joel Schumacher","United States"
"1346",104114,"Distinguished Gentleman, The (1992)","Comedy",1992-12-04,"1992","12","United States","Hollywood Pictures;Touchwood Pacific Partners 1",5e+07,10611040,112,"Eddie Murphy;Lane Smith;Sheryl Lee Ralph;Joe Don Baker;Victoria Rowell;Grant Shaud;Kevin McCarthy;Charles S. Dutton;Victor Rivers;Chi McBride;Sonny Jim Gaines;Noble Willingham;Gary Frank;Daniel Benzali;Cynthia Harris;Susan Forristal;Autumn Winters;James Garner","Jonathan Lynn","United States"
"1347",172396,"End of the Affair, The (1999)","Drama",2000-01-21,"2000","1","United KingdomUnited States","Columbia Pictures",2.3e+07,198535,102,"Ralph Fiennes;Julianne Moore;Stephen Rea;Heather-Jay Jones;James Bolam;Ian Hart;Sam Bould;Cyril Shaps;Penny Morrell;Simon Fisher-Turner;Jason Isaacs;Deborah Findlay;Nicholas Hewetson;Jack McKenzie;Claire Ashton;Jeremy Caleb Johnson;Anthony Maddalena;Nic Main","Neil Jordan","United Kingdom"
"1351",79239,"Great Santini, The (1979)","Drama",1979-10-26,"1979","10","United States","Bing Crosby Productions",4e+06,83527,115,"Robert Duvall;Blythe Danner;Michael O'Keefe;Lisa Jane Persky;Julie Anne Haddock;Brian Andrews;Stan Shaw;Theresa Merritt;David Keith;Paul Mantee;Michael Strong;Bennett James;Joe Dorsey;David Frankham;Jan Stratton;Paul Gleason;W.K. Stratton;Lew Horn","Lewis John Carlino","United States"
"1352",100828,"Two Jakes, The (1990)","Drama",1990-08-10,"1990","8","United States","88 Productions;Paramount Pictures",1.9e+07,3729149,137,"Jack Nicholson;Harvey Keitel;Meg Tilly;Madeleine Stowe;Eli Wallach;Rubén Blades;Frederic Forrest;David Keith;Richard Farnsworth;Tracey Walter;Joe Mantell;James Hong;Perry Lopez;Jeff Morris;Rebecca Broussard;John Hackett;Rosie Vela;Allan Warnick","Jack Nicholson","United States"
"1353",150216,"Cradle Will Rock (1999)","Drama",2000-01-21,"2000","1","United States","Touchstone Pictures;Cradle Productions Inc.;Havoc",3.6e+07,93998,132,"Hank Azaria;Rubén Blades;Joan Cusack;John Cusack;Cary Elwes;Philip Baker Hall;Cherry Jones;Angus Macfadyen;Bill Murray;Vanessa Redgrave;Susan Sarandon;Jamey Sheridan;John Turturro;Emily Watson;Bob Balaban;Jack Black;Kyle Gass;Paul Giamatti","Tim Robbins","United States"
"1354",205000,"Deuce Bigalow: Male Gigolo (1999)","Comedy",1999-12-10,"1999","12","United States","Touchstone Pictures;Happy Madison Productions;Out of the Blue... Entertainment",1.7e+07,12224016,88,"Rob Schneider;William Forsythe;Eddie Griffin;Arija Bareikis;Oded Fehr;Gail O'Grady;Richard Riehle;Jacqueline Obradors;Big Boy;Amy Poehler;Dina Platias;Torsten Voges;Deborah Lemen;Bree Turner;Andrew Shaifer;Allen Covert;Elle King;Barry Cutler","Mike Mitchell","United States"
"1356",124315,"Cider House Rules, The (1999)","Drama",2000-01-07,"2000","1","United States","FilmColony;Miramax;Nina Saxon Film Design",2.4e+07,110098,126,"Tobey Maguire;Charlize Theron;Michael Caine;Delroy Lindo;Paul Rudd;Jane Alexander;Kathy Baker;Erykah Badu;Kieran Culkin;Kate Nelligan;Heavy D;K. Todd Freeman;Paz de la Huerta;J.K. Simmons;Evan Parke;Jimmy Flynn;Lonnie Farmer;Erik Per Sullivan","Lasse Hallström","United States"
"1360",162866,"Emperor and the Assassin, The (Jing ke ci qin wang) (1999)","Drama",1998-11-14,"1998","11","ChinaFranceJapan","Shin Corporation;Le Studio Canal+;New Wave Company",1.5e+07,47295,162,"Gong Li;Fengyi Zhang;Zhou Sun;Xiaohe Lü;Zhiwen Wang;Kaige Chen;Yongfei Gu;Benshan Zhao;Haifeng Ding;Changjiang Pan;Xun Zhou;Xuejian Li;Xu Chu;Dong Han;Bing Lin;Bo Liu;Jiacheng Liu;Liang Liu","Kaige Chen","China"
"1361",175880,"Magnolia (1999)","Drama",2000-01-07,"2000","1","United States","Ghoulardi Film Company;New Line Cinema;The Magnolia Project",3.7e+07,193604,188,"Tom Cruise;Jason Robards;Julianne Moore;Philip Seymour Hoffman;Pat Healy;Genevieve Zweig;Mark Flanagan;Neil Flynn;Rod McLachlan;Allan Graf;Patton Oswalt;Raymond 'Big Guy' Gonzales;Brad Hunt;Jim Meskimen;Chris O'Hara;Clement Blake;Frank Elmore;John Kraft Seitz","Paul Thomas Anderson","United States"
"1366",146838,"Any Given Sunday (1999)","Drama",1999-12-22,"1999","12","United States","Warner Bros.;Ixtlan;Donners' Company",5.5e+07,13584625,162,"Al Pacino;Dennis Quaid;Cameron Diaz;James Woods;Jamie Foxx;LL Cool J;Matthew Modine;Jim Brown;Lawrence Taylor;Bill Bellamy;Andrew Bryniarski;Lela Rochon;Lauren Holly;Ann-Margret;Aaron Eckhart;Elizabeth Berkley;Charlton Heston;John C. McGinley","Oliver Stone","United States"
"1370",195945,"Next Friday (2000)","Comedy",2000-01-12,"2000","1","United States","New Line Cinema;Cube Vision",1.1e+07,14465156,98,"Ice Cube;Mike Epps;Justin Pierce;John Witherspoon;Don 'D.C.' Curry;Jacob Vargas;Lobo Sebastian;Rolando Molina;Lisa Rodríguez;Tom Lister Jr.;Kym Whitley;Amy Hill;Tamala Jones;The Lady of Rage;Carmen Serano;Maria Arcé;Vanessa White;Clifton Powell","Steve Carr","United States"
"1371",174856,"Hurricane, The (1999)","Drama",2000-01-14,"2000","1","United States","Azoff Entertainment;Beacon Communications;Beacon Pictures",5e+07,384640,146,"Denzel Washington;Vicellous Shannon;Deborah Kara Unger;Liev Schreiber;John Hannah;Dan Hedaya;Debbi Morgan;Clancy Brown;David Paymer;Harris Yulin;Rod Steiger;Badja Djola;Vincent Pastore;Al Waxman;David Lansbury;Garland Whitt;Chuck Cooper;Brenda Denmark","Norman Jewison","United States"
"1372",145653,"Angela's Ashes (1999)","Drama",2000-01-21,"2000","1","United StatesIreland","David Brown Productions;Dirty Hands Productions;Scott Rudin Productions",5e+07,54628,145,"Emily Watson;Robert Carlyle;Joe Breen;Ciaran Owens;Michael Legge;Ronnie Masterson;Pauline McLynn;Liam Carney;Eanna MacLiam;Andrew Bennett;Shane Murray-Corcoran;Devon Murray;Peter Halpin;Aaron Geraghty;Sean Carney Daly;Oisin Carney Daly;Shane Smith;Tim O'Brien","Alan Parker","United States"
"1374",120834,"Snow Falling on Cedars (1999)","Drama",2000-01-07,"2000","1","United States","Universal Pictures;The Kennedy/Marshall Company;Soundfirm",3.5e+07,32135,127,"Ethan Hawke;Max von Sydow;Yûki Kudô;Reeve Carney;Anne Suzuki;Rick Yune;James Rebhorn;James Cromwell;Richard Jenkins;Arija Bareikis;Eric Thal;Celia Weston;Daniel von Bargen;Akira Takayama;Ako;Cary-Hiroyuki Tagawa;Zak Orth;Max Wright","Scott Hicks","United States"
"1375",172493,"Girl, Interrupted (1999)","Drama",2000-01-14,"2000","1","GermanyUnited States","Columbia Pictures;Red Wagon Entertainment;3 Arts Entertainment",4e+07,95399,127,"Winona Ryder;Angelina Jolie;Clea DuVall;Brittany Murphy;Elisabeth Moss;Jared Leto;Jeffrey Tambor;Vanessa Redgrave;Whoopi Goldberg;Angela Bettis;Jillian Armenante;Drucie McDaniel;Alison Claire;Christina Myers;Joanna Kerns;Travis Fine;Gloria Barnhart;Josie Gammell","James Mangold","Germany"
"1378",97162,"Dead Calm (1989)","Thriller",1989-04-07,"1989","4","Australia","Kennedy Miller Productions;Lynx Location Services",10400000,2463551,96,"Nicole Kidman;Sam Neill;Billy Zane;Rod Mullinar;Joshua Tilden;George Shevtsov;Michael Long;Lisa Collins;Paula Hudson-Brinkley;Sharon Cook;Malinda Rutter;Benji","Phillip Noyce","Australia"
"1379",86859,"Against All Odds (1984)","Romance",1984-03-02,"1984","3","United States","Columbia Pictures;New Visions;Columbia-Delphi Productions",1.3e+07,3766128,128,"Rachel Ward;Jeff Bridges;James Woods;Alex Karras;Jane Greer;Richard Widmark;Dorian Harewood;Swoosie Kurtz;Saul Rubinek;Pat Corley;Bill McKinney;Allen Williams;Sam Scarber;Jon St. Elwood;Tamara Stafford;Jonathan Terry;Paul Valentine;Ted White","Taylor Hackford","United States"
"1382",94924,"Cry in the Dark, A (1988)","Drama",1988-11-11,"1988","11","Australia","Cannon Entertainment;Golan-Globus Productions;Cinema Verity",1.5e+07,1561793,120,"Meryl Streep;Sam Neill;Dale Reeves;David Hoflin;Jason Reason;Michael Wetter;Kane Barton;Trent Roberts;Lauren Shepherd;Bethany Ann Prickett;Alison O'Connell;Aliza Dason;Jane Coker;Rae-Leigh Henson;Nicolette Minster;Brian James;Dorothy Alison;Maurie Fields","Fred Schepisi","Australia"
"1385",120662,"Eye of the Beholder (1999)","Thriller",2000-01-28,"2000","1","CanadaUnited KingdomAustraliaUnited States","Ambridge Film Partnership;Behaviour Worldwide;Eye of the Beholder Ltd.",3.5e+07,5959447,109,"Ewan McGregor;Ashley Judd;Patrick Bergin;Geneviève Bujold;k.d. lang;Jason Priestley;Anne-Marie Brown;Kaitlin Brown;David Nerman;Steven McCarthy;Vlasta Vrana;Janine Theriault;Don Jordan;Maria Revelins;Lisa Forget;Gayle Garfinkle;Russell Yuen;Stephane Levasseur","Stephan Elliott","Canada"
"1386",141399,"Isn't She Great? (2000)","Comedy",2000-01-28,"2000","1","United KingdomGermanyCanadaJapanUnited States","British Broadcasting Corporation (BBC);H2L Media Group;Lobell/Bergman Productions",4.4e+07,1368705,95,"Bette Midler;Nathan Lane;Stockard Channing;David Hyde Pierce;John Cleese;John Larroquette;Amanda Peet;Terrence Labrosse;Jeffrey Ross;Christopher McDonald;Paul Benedict;Dina Spybey-Waters;Pauline Little;William Hill;Mal Z. Lawrence;Adam Heller;Ellen David;Dan Ziskie","Andrew Bergman","United Kingdom"
"1387",156639,"Big Tease, The (1999)","Comedy",2000-01-28,"2000","1","United KingdomUnited States","Warner Bros.;Crawford P.;I Should Coco Films",4e+06,29010,86,"Craig Ferguson;Chris Langham;David Rasche;Frances Fisher;Mary McCormack;Donal Logue;Isabella Aitken;Kevin Allen;Angela McCluskey;Francine York;David Hasselhoff;Drew Carey;Cathy Lee Crosby;Caitlyn Jenner;Nina Siemaszko;Melissa Rivers;Norm Compton;Loren Lazerine","Kevin Allen","United Kingdom"
"1388",104187,"Encino Man (1992)","Comedy",1992-05-22,"1992","5","United States","Encino Man Productions;Hollywood Pictures;Touchwood Pacific Partners 1",7e+06,9866120,88,"Sean Astin;Brendan Fraser;Pauly Shore;Megan Ward;Robin Tunney;Michael DeLuise;Patrick Van Horn;Dalton James;Rick Ducommun;Ke Huy Quan;Mariette Hartley;Richard Masur;Ellen Blain;Esther Scott;Steven Elkins;Wanda Acuna;Furley Lumpkin;Peter Allas","Les Mayfield","United States"
"1389",104797,"Malcolm X (1992)","Drama",1992-11-18,"1992","11","United StatesJapan","Largo International N.V.;JVC Entertainment Networks;40 Acres & A Mule Filmworks",3.3e+07,9871125,202,"Denzel Washington;Angela Bassett;Delroy Lindo;Spike Lee;Albert Hall;Al Freeman Jr.;Theresa Randle;Kate Vernon;Lonette McKee;Tommy Hollis;James McDaniel;Ernest Thomas;Jean-Claude La Marre;O.L. Duke;Larry McCoy;Maurice Sneed;Debi Mazar;Phyllis Yvonne Stickney","Spike Lee","United States"
"1391",108147,"Sister Act 2: Back in the Habit (1993)","Comedy",1993-12-10,"1993","12","United States","Touchstone Pictures",3.8e+07,7569219,107,"Whoopi Goldberg;Kathy Najimy;Maggie Smith;Barnard Hughes;Mary Wickes;James Coburn;Michael Jeter;Wendy Makkena;Sheryl Lee Ralph;Robert Pastorelli;Thomas Gottschalk;Lauryn Hill;Brad Sullivan;Alanna Ubach;Ryan Toby;Ron Johnson;Jennifer Love Hewitt;Devin Kamin","Bill Duke","United States"
"1393",106246,"Alive (1993)","Drama",1993-01-15,"1993","1","United StatesCanada","Film Andes S.A.;Paramount Pictures;The Kennedy/Marshall Company",3.2e+07,8624292,120,"Ethan Hawke;Vincent Spano;Josh Hamilton;Bruce Ramsay;John Newton;David Kriegel;Kevin Breznahan;Sam Behrens;Illeana Douglas;Jack Noseworthy;Christian J. Meoli;Jake Carpenter;Michael DeLorenzo;José Zúñiga;Danny Nucci;David Cubitt;Gian DiDonna;John Cassini","Frank Marshall","United States"
